gml_id,ust_katego,alt_katego,ad,geojson
bursa_dinitesis.1,DİNİ TESİSLER,CAMİ,AĞAÇLI MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.640739177,40.029160422]}"
bursa_dinitesis.2,DİNİ TESİSLER,CAMİ,AKARCA MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.434137462,39.94727399]}"
bursa_dinitesis.3,DİNİ TESİSLER,CAMİ,ALACAAT MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.660454265,39.822329223]}"
bursa_dinitesis.4,DİNİ TESİSLER,CAMİ,ALİSEYDİ MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.493660972,40.076476824]}"
bursa_dinitesis.5,DİNİ TESİSLER,CAMİ,ALPAGUT MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.214928846,39.880302189]}"
bursa_dinitesis.6,DİNİ TESİSLER,CAMİ,AŞĞ.BALI MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.725753266,39.830413823]}"
bursa_dinitesis.7,DİNİ TESİSLER,CAMİ,AYAZ MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.492225265,40.099216364]}"
bursa_dinitesis.8,DİNİ TESİSLER,CAMİ,AYDINLIKEVLER CAMİ,"{""type"":""Point"",""coordinates"":[28.390425151,40.033805583]}"
bursa_dinitesis.9,DİNİ TESİSLER,CAMİ,BAHARİYE MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.420938284,39.94157171]}"
bursa_dinitesis.10,DİNİ TESİSLER,CAMİ,BEHRAM MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.442007852,40.001116924]}"
bursa_dinitesis.11,DİNİ TESİSLER,CAMİ,BÜK MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.575808047,39.893614254]}"
bursa_dinitesis.12,DİNİ TESİSLER,CAMİ,CAMANDAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.535150087,39.9475296]}"
bursa_dinitesis.13,DİNİ TESİSLER,CAMİ,ÇAKALLAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.525891013,39.789791171]}"
bursa_dinitesis.14,DİNİ TESİSLER,CAMİ,ÇALTILIBÜK MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.599172013,39.956444845]}"
bursa_dinitesis.15,DİNİ TESİSLER,CAMİ,ÇAVUŞ MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.517800492,39.950755333]}"
bursa_dinitesis.16,DİNİ TESİSLER,CAMİ,ÇELTİKÇİ MH.MERKEZ CAMİ,"{""type"":""Point"",""coordinates"":[28.232707569,40.062815439]}"
bursa_dinitesis.17,DİNİ TESİSLER,CAMİ,ÇIRPAN CAMİ,"{""type"":""Point"",""coordinates"":[28.400725314,40.035147288]}"
bursa_dinitesis.18,DİNİ TESİSLER,CAMİ,ÇİVİLİÇAM MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.712362639,39.886357205]}"
bursa_dinitesis.19,DİNİ TESİSLER,CAMİ,DEMİRDERE MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.348624847,40.008362188]}"
bursa_dinitesis.20,DİNİ TESİSLER,CAMİ,DEMİRELİ MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.472377767,40.043027894]}"
bursa_dinitesis.21,DİNİ TESİSLER,CAMİ,DERECİK MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.334802694,40.048477557]}"
bursa_dinitesis.22,DİNİ TESİSLER,CAMİ,DEVECİKONAK MH.TUNÇ MERMER FAB.CAMİ,"{""type"":""Point"",""coordinates"":[28.562877902,39.915407128]}"
bursa_dinitesis.23,DİNİ TESİSLER,CAMİ,DÖLLÜK MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.518178903,39.959847314]}"
bursa_dinitesis.24,DİNİ TESİSLER,CAMİ,DURUMTAY MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.243463055,40.078781758]}"
bursa_dinitesis.25,DİNİ TESİSLER,CAMİ,ERTUĞRUL CAMİ,"{""type"":""Point"",""coordinates"":[28.399480277,40.040992722]}"
bursa_dinitesis.26,DİNİ TESİSLER,CAMİ,ESKİKIZILELMA MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.731147816,40.035937195]}"
bursa_dinitesis.27,DİNİ TESİSLER,CAMİ,FEVZİDEDE CAMİ,"{""type"":""Point"",""coordinates"":[28.411090766,40.043222979]}"
bursa_dinitesis.28,DİNİ TESİSLER,CAMİ,GÜLLÜCE MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.313138088,40.034420621]}"
bursa_dinitesis.29,DİNİ TESİSLER,CAMİ,GÜLLÜCE MH.ÇERKEZ CAMİ,"{""type"":""Point"",""coordinates"":[28.309081567,40.035018809]}"
bursa_dinitesis.30,DİNİ TESİSLER,CAMİ,GÜVEÇDERE MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.415962537,39.952045611]}"
bursa_dinitesis.31,DİNİ TESİSLER,CAMİ,GÜVEM MH.AŞĞ.CAMİ,"{""type"":""Point"",""coordinates"":[28.505108455,39.834262033]}"
bursa_dinitesis.32,DİNİ TESİSLER,CAMİ,GÜVEM MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.505741802,39.835380471]}"
bursa_dinitesis.33,DİNİ TESİSLER,CAMİ,HACI ALİ MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.525793937,39.977890238]}"
bursa_dinitesis.34,DİNİ TESİSLER,CAMİ,HACI POTURCU CAMİ,"{""type"":""Point"",""coordinates"":[28.418696336,40.038443839]}"
bursa_dinitesis.35,DİNİ TESİSLER,CAMİ,IŞIKLAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.605260893,40.002694567]}"
bursa_dinitesis.36,DİNİ TESİSLER,CAMİ,KABULBABA MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.57473921,40.020378557]}"
bursa_dinitesis.37,DİNİ TESİSLER,CAMİ,KADİRÇEŞME MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.521596796,40.075076714]}"
bursa_dinitesis.38,DİNİ TESİSLER,CAMİ,KAPAKLIOLUK MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.498899643,40.01704957]}"
bursa_dinitesis.39,DİNİ TESİSLER,CAMİ,KARACALAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.620049906,39.955920465]}"
bursa_dinitesis.40,DİNİ TESİSLER,CAMİ,KARAOĞLANLAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.976277577,39.841626498]}"
bursa_dinitesis.41,DİNİ TESİSLER,CAMİ,KARAORMAN MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.455320639,39.975791508]}"
bursa_dinitesis.42,DİNİ TESİSLER,CAMİ,KARAPINAR MH.YK.CAMİ,"{""type"":""Point"",""coordinates"":[28.32191073,39.962993555]}"
bursa_dinitesis.43,DİNİ TESİSLER,CAMİ,KAYABAŞI MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.372334382,39.992335224]}"
bursa_dinitesis.44,DİNİ TESİSLER,CAMİ,KELTAŞ MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.455993802,40.014982468]}"
bursa_dinitesis.45,DİNİ TESİSLER,CAMİ,KESTELEK MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.569857908,39.955736841]}"
